"15", "1", "4","Bottle",4, "Nutrients and O2 do not appear to fit the profilei; mistrip"
"18", "1", "28","Bottle",4, "Nutrients and O2 do not appear to fit the profilei; mistrip"
"21", "1", "32","Bottle",4, "Nutrients and O2 do not appear to fit the profilei; mistrip"
"27", "1", "25","Bottle",4, "Nutrients and O2 do not appear to fit the profilei; mistrip"
"31", "1", "32","Bottle",4, "O2 draw temp low; nutrients do not fit profile; mistrip"
"34", "1", "9","Bottle",4, "Salt and nutrients appear to match bottle 10; likely mistrip"
"40", "1", "2","Bottle",4, "nutrients do not fit profile; mistrip"
"43", "1", "30","Bottle",4, "CTD coms issue; bottle closed at unknown depth"
"43", "1", "31","Bottle",4, "CTD coms issue; bottle closed at unknown depth"
"43", "1", "32","Bottle",4, "CTD coms issue; bottle closed at unknown depth"
"43", "1", "33","Bottle",4, "CTD coms issue; bottle closed at unknown depth"
"43", "1", "34","Bottle",4, "CTD coms issue; bottle closed at unknown depth"
"43", "1", "35","Bottle",4, "CTD coms issue; bottle closed at unknown depth"
"45", "1", "2","Bottle",4, "O2 draw temp high; nutrients do not fit profile; mistrip"
"48", "1", "2","Bottle",4, "O2 draw temp high; oxygen does not fit profile; mistrip"
"56", "1", "10","Bottle",4, "Bottle did not close"
"66", "1", "2","Bottle",4, "O2 draw temp high; oxygen does not fit profile; mistrip"
"69", "1", "10","Bottle",4, "Bottle did not close"
"73", "1", "2","Bottle",4, "O2 draw temp high; oxygen does not fit profile; mistrip"
"81", "1", "2","Bottle",4, "oxygen does not fit profile; mistrip"
